Facility|FavID|Inclusion|AltLow|AltHigh|GeoJSON
ZAU|ZAU_H_53855_01373|1|18000|60000|{"type": "Polygon", "coordinates": [[[-111.841666667, 35.7666666667],[-111.841666667, 35.7666666667],[-112.0, 35.4],[-112.153055556, 35.3966666667],[-112.666666667, 35.3833333333],[-112.927777778, 35.2555555556],[-113.616666667, 34.9166666667],[-113.7, 34.8666666667],[-114.0, 34.6666666667],[-114.0, 33.4],[-114.0, 32.6833333333],[-113.684722222, 32.7375],[-113.512769444, 32.1162277778],[-113.508333333, 32.1],[-112.0, 31.6333333333],[-111.083333333, 31.3333333333],[-108.2, 31.3333333333],[-108.2, 31.7833333333],[-106.533333333, 31.7833333333],[-106.5, 31.75],[-106.383333333, 31.7333333333],[-106.2, 31.4666666667],[-105.966666667, 31.3333333333],[-105.55, 31.0],[-105.316666667, 30.8333333333],[-104.983333333, 30.6833333333],[-104.833333333, 30.3666666667],[-104.683333333, 30.15],[-104.7, 30.0],[-104.516666667, 29.65],[-104.35, 29.5333333333],[-104.216666667, 29.4833333333],[-104.15, 29.4],[-104.0, 29.3055555556],[-103.783333333, 29.2652777778],[-103.716666667, 29.1805555556],[-103.55, 29.15],[-103.45, 29.0666666667],[-103.285555556, 28.9766666667],[-103.15, 28.95],[-102.983333333, 29.1833333333],[-102.866666667, 29.2166666667],[-102.883333333, 29.3583333333],[-102.840277778, 29.3611111111],[-102.675, 29.725],[-102.558333333, 29.7666666667],[-102.15, 31.2833333333],[-103.333333333, 31.65],[-103.8, 32.0333333333],[-103.933333333, 32.4666666667],[-103.8, 33.0],[-103.8, 33.3833333333],[-103.691666667, 33.4027777778],[-103.366666667, 33.775],[-102.8, 34.3166666667],[-102.325, 34.55],[-102.0, 34.6],[-100.75, 34.4666666667],[-100.316666667, 34.8666666667],[-100.0, 35.3333333333],[-100.0, 35.8291666667],[-101.75, 36.5],[-102.55, 37.5],[-105.0, 36.7166666667],[-106.083333333, 36.7166666667],[-107.466666667, 36.2],[-108.216666667, 36.0333333333],[-110.233333333, 35.7],[-111.841666667, 35.7666666667]]]}
ZAU|ZAU_L_58555_01373|1|0|18000|{"type": "Polygon", "coordinates": [[[-111.841666667, 35.7666666667],[-111.841666667, 35.7666666667],[-112.0, 35.4],[-112.153055556, 35.3966666667],[-112.666666667, 35.3833333333],[-112.927777778, 35.2555555556],[-113.616666667, 34.9166666667],[-113.7, 34.8666666667],[-114.0, 34.6666666667],[-114.0, 33.4],[-114.0, 32.6833333333],[-113.684722222, 32.7375],[-113.512769444, 32.1162277778],[-113.508333333, 32.1],[-112.0, 31.6333333333],[-111.083333333, 31.3333333333],[-108.2, 31.3333333333],[-108.2, 31.7833333333],[-106.533333333, 31.7833333333],[-106.5, 31.75],[-106.383333333, 31.7333333333],[-106.2, 31.4666666667],[-105.966666667, 31.3333333333],[-105.55, 31.0],[-105.316666667, 30.8333333333],[-104.983333333, 30.6833333333],[-104.833333333, 30.3666666667],[-104.683333333, 30.15],[-104.7, 30.0],[-104.516666667, 29.65],[-104.35, 29.5333333333],[-104.216666667, 29.4833333333],[-104.15, 29.4],[-104.0, 29.3055555556],[-103.783333333, 29.2652777778],[-103.716666667, 29.1805555556],[-103.55, 29.15],[-103.45, 29.0666666667],[-103.285555556, 28.9766666667],[-103.15, 28.95],[-102.983333333, 29.1833333333],[-102.866666667, 29.2166666667],[-102.883333333, 29.3583333333],[-102.840277778, 29.3611111111],[-102.675, 29.725],[-102.558333333, 29.7666666667],[-102.15, 31.2833333333],[-103.333333333, 31.65],[-103.8, 32.0333333333],[-103.933333333, 32.4666666667],[-103.8, 33.0],[-103.8, 33.3833333333],[-103.691666667, 33.4027777778],[-103.366666667, 33.775],[-102.8, 34.3166666667],[-102.325, 34.55],[-102.0, 34.6],[-100.75, 34.4666666667],[-100.316666667, 34.8666666667],[-100.0, 35.3333333333],[-100.0, 35.8291666667],[-101.75, 36.5],[-102.55, 37.5],[-105.0, 36.7166666667],[-106.083333333, 36.7166666667],[-107.466666667, 36.2],[-108.216666667, 36.0333333333],[-110.233333333, 35.7],[-111.841666667, 35.7666666667]]]}
ZAU|ZAU_B_51330_50066|1|0|18000|{"type": "Polygon", "coordinates": [[[159.0, 50.0833333333],[159.0, 50.0833333333],[169.0, 54.0],[170.0, 54.6691666667],[170.0, 51.5],[173.733333333, 51.0833333333],[-176.566666667, 50.1333333333],[162.916666667, 45.7],[159.0, 50.0833333333]]]}
ZAU|ZAU_B_51415_51390|1|0|18000|{"type": "Polygon", "coordinates": [[[-141.0, 90.0],[-141.0, 90.0],[-168.973055556, 68.0],[-158.0, 72.0],[-141.0, 72.0],[-141.0, 90.0]]]}
ZAU|ZAU_H_56720_56710|1|18000|60000|{"type": "Polygon", "coordinates": [[[-168.973055556, 68.0],[-168.973055556, 68.0],[-158.0, 72.0],[-141.0, 72.0],[-141.0, 62.0],[-139.183333333, 60.35],[-139.075, 60.3513888889],[-139.066666667, 60.3208333333],[-139.2, 60.0861111111],[-139.05, 59.9916666667],[-138.708333333, 59.9],[-138.666666667, 59.8083333333],[-138.633333333, 59.7708333333],[-138.624352778, 59.7689111111],[-136.236880556, 59.5297972222],[-134.987925, 59.3874555556],[-135.025, 59.35],[-134.958333333, 59.2833333333],[-134.7, 59.25],[-134.683333333, 59.1916666667],[-134.575, 59.1333333333],[-134.483333333, 59.1333333333],[-134.45, 59.0916666667],[-134.383333333, 59.0416666667],[-134.408333333, 58.975],[-134.316666667, 58.9625],[-134.3375, 58.925],[-134.25, 58.8583333333],[-133.958333333, 58.7666666667],[-133.833333333, 58.725],[-133.691666667, 58.6],[-133.558333333, 58.525],[-133.375, 58.425],[-133.458333333, 58.3875],[-133.341666667, 58.275],[-133.25, 58.2125],[-133.175, 58.1583333333],[-133.070833333, 58.0],[-132.866666667, 57.8375],[-132.75, 57.7],[-132.666666667, 57.6166666667],[-132.55, 57.4916666667],[-132.366666667, 57.35],[-132.25, 57.2083333333],[-132.375, 57.0875],[-132.041666667, 57.0416666667],[-132.083333333, 57.0],[-132.133333333, 56.875],[-131.875, 56.8083333333],[-131.9, 56.75],[-131.866666667, 56.7041666667],[-131.841666667, 56.6],[-131.583333333, 56.6125],[-131.466666667, 56.55],[-131.183333333, 56.45],[-131.083333333, 56.4083333333],[-130.783333333, 56.3625],[-130.625, 56.2666666667],[-130.55, 56.2458333333],[-130.466666667, 56.2416666667],[-130.433333333, 56.1416666667],[-130.341666667, 56.1291666667],[-130.25, 56.0958333333],[-130.1, 56.125],[-130.0, 56.0083333333],[-130.016666667, 55.9166666667],[-130.0, 55.9083333333],[-130.083333333, 55.825],[-130.125, 55.8083333333],[-130.15, 55.7666666667],[-130.145833333, 55.7166666667],[-130.108333333, 55.6833333333],[-130.125, 55.5833333333],[-130.095833333, 55.5041666667],[-130.033333333, 55.4458333333],[-130.025, 55.3416666667],[-129.970833333, 55.2833333333],[-130.1, 55.1916666667],[-130.1875, 55.0666666667],[-130.266666667, 54.975],[-130.45, 54.85],[-130.55, 54.7958333333],[-130.629166667, 54.7791666667],[-130.65, 54.7625],[-130.625, 54.7416666667],[-130.608333333, 54.7083333333],[-131.8, 54.4916666667],[-132.833333333, 54.5833333333],[-134.0, 54.1083333333],[-135.45, 54.1083333333],[-136.0, 54.0],[-137.0, 53.3674444444],[-151.75, 56.7616666667],[-153.0, 56.0],[-160.0, 53.5],[-167.816666667, 51.4],[-176.566666667, 50.1333333333],[173.733333333, 51.0833333333],[170.0, 51.5],[170.0, 54.6691666667],[-180.0, 60.0],[-175.0, 62.5833333333],[-168.973055556, 65.0],[-168.973055556, 68.0]]]}
ZAU|ZAU_L_62030_62020|1|0|18000|{"type": "Polygon", "coordinates": [[[-168.973055556, 68.0],[-168.973055556, 68.0],[-158.0, 72.0],[-141.0, 72.0],[-141.0, 60.3067472222],[-140.518477778, 60.2201805556],[-140.456261111, 60.3084444444],[-139.979186111, 60.1823111111],[-139.691088889, 60.3355611111],[-139.183333333, 60.35],[-139.075, 60.3513888889],[-139.066666667, 60.3208333333],[-139.2, 60.0861111111],[-139.05, 59.9916666667],[-138.708333333, 59.9],[-138.666666667, 59.8083333333],[-138.633333333, 59.7708333333],[-137.605383333, 59.2441555556],[-137.498113889, 58.9857638889],[-137.524222222, 58.9067416667],[-137.449833333, 58.9087222222],[-137.280961111, 59.0003777778],[-136.967791667, 59.1016111111],[-136.82685, 59.1603305556],[-136.582580556, 59.1662138889],[-136.487858333, 59.2601194444],[-136.493913889, 59.275475],[-136.467405556, 59.2844194444],[-136.475330556, 59.46615],[-136.370625, 59.4499333333],[-136.366425, 59.4492805556],[-136.303205556, 59.4648361111],[-136.236686111, 59.5246416667],[-136.236880556, 59.5297972222],[-136.238008333, 59.5597277778],[-136.352086111, 59.6001388889],[-136.191075, 59.6403416667],[-135.952644444, 59.6621666667],[-135.477294444, 59.7983611111],[-135.358272222, 59.7379388889],[-135.250930556, 59.6986027778],[-135.231833333, 59.6964666667],[-135.217988889, 59.6630972222],[-135.155758333, 59.6260444444],[-135.115980556, 59.6233888889],[-135.027052778, 59.5639777778],[-135.025738889, 59.4750638889],[-135.075436111, 59.4520916667],[-135.099172222, 59.4278527778],[-134.987925, 59.3874555556],[-135.025, 59.35],[-134.958333333, 59.2833333333],[-134.7, 59.25],[-134.683333333, 59.1916666667],[-134.575, 59.1333333333],[-134.483333333, 59.1333333333],[-134.45, 59.0916666667],[-134.383333333, 59.0416666667],[-134.408333333, 58.975],[-134.316666667, 58.9625],[-134.3375, 58.925],[-134.25, 58.8583333333],[-133.958333333, 58.7666666667],[-133.833333333, 58.725],[-133.691666667, 58.6],[-133.558333333, 58.525],[-133.375, 58.425],[-133.458333333, 58.3875],[-133.341666667, 58.275],[-133.25, 58.2125],[-133.175, 58.1583333333],[-133.070833333, 58.0],[-132.866666667, 57.8375],[-132.75, 57.7],[-132.666666667, 57.6166666667],[-132.55, 57.4916666667],[-132.366666667, 57.35],[-132.25, 57.2083333333],[-132.375, 57.0875],[-132.041666667, 57.0416666667],[-132.083333333, 57.0],[-132.133333333, 56.875],[-131.875, 56.8083333333],[-131.9, 56.75],[-131.866666667, 56.7041666667],[-131.841666667, 56.6],[-131.583333333, 56.6125],[-131.466666667, 56.55],[-131.183333333, 56.45],[-131.083333333, 56.4083333333],[-130.783333333, 56.3625],[-130.625, 56.2666666667],[-130.55, 56.2458333333],[-130.466666667, 56.2416666667],[-130.433333333, 56.1416666667],[-130.341666667, 56.1291666667],[-130.25, 56.0958333333],[-130.1, 56.125],[-130.0, 56.0083333333],[-130.016666667, 55.9166666667],[-130.0, 55.9083333333],[-130.083333333, 55.825],[-130.125, 55.8083333333],[-130.15, 55.7666666667],[-130.145833333, 55.7166666667],[-130.108333333, 55.6833333333],[-130.125, 55.5833333333],[-130.095833333, 55.5041666667],[-130.033333333, 55.4458333333],[-130.025, 55.3416666667],[-129.970833333, 55.2833333333],[-130.1, 55.1916666667],[-130.1875, 55.0666666667],[-130.266666667, 54.975],[-130.45, 54.85],[-130.55, 54.7958333333],[-130.629166667, 54.7791666667],[-130.65, 54.7625],[-130.625, 54.7416666667],[-130.608333333, 54.7083333333],[-131.8, 54.4916666667],[-132.833333333, 54.5833333333],[-134.0, 54.1083333333],[-135.45, 54.1083333333],[-136.0, 54.0],[-137.0, 53.3674444444],[-151.75, 56.7616666667],[-153.0, 56.0],[-160.0, 53.5],[-167.816666667, 51.4],[-176.566666667, 50.1333333333],[179.583333333, 50.6166666667],[173.733333333, 51.0833333333],[170.0, 51.5],[170.0, 54.6691666667],[-180.0, 60.0],[-175.0, 62.5833333333],[-168.973055556, 65.0],[-168.973055556, 68.0]]]}
ZAU|ZAU_H_54915_54640|1|18000|60000|{"type": "Polygon", "coordinates": [[[-93.4666666667, 41.6666666667],[-93.4666666667, 41.6666666667],[-93.5083333333, 41.4333333333],[-93.6, 41.1666666667],[-93.4916666667, 40.525],[-91.7416666667, 40.7638888889],[-91.65, 40.7833333333],[-89.75, 40.0],[-88.25, 40.0],[-86.1, 40.0],[-85.525, 40.3541666667],[-84.6833333333, 40.6666666667],[-84.6833333333, 40.775],[-84.7, 40.9083333333],[-84.7, 40.9583333333],[-84.7166666667, 41.2833333333],[-84.7666666667, 41.8583333333],[-85.0, 42.0],[-85.0, 43.5],[-84.9636111111, 43.5866666667],[-87.1694444444, 43.6916666667],[-87.5416666667, 43.9666666667],[-88.4666666667, 44.1],[-88.7541666667, 44.1594444444],[-89.0761111111, 44.225],[-89.5875, 44.1541666667],[-90.2916666667, 44.1541666667],[-90.8291666667, 43.6180555556],[-91.0833333333, 43.3666666667],[-91.725, 42.725],[-93.0, 42.7833333333],[-93.05, 42.6666666667],[-93.4666666667, 41.6666666667]]]}
ZAU|ZAU_L_60380_59940|1|0|18000|{"type": "Polygon", "coordinates": [[[-93.4666666667, 41.6666666667],[-93.4666666667, 41.6666666667],[-93.5083333333, 41.4333333333],[-93.6, 41.1666666667],[-93.4916666667, 40.525],[-91.7416666667, 40.7638888889],[-91.65, 40.7833333333],[-89.75, 40.0],[-88.25, 40.0],[-86.95, 40.0],[-86.1, 40.0],[-85.9555555556, 40.1194444444],[-85.5041666667, 40.5583333333],[-85.4144444444, 40.6633333333],[-84.9919444444, 40.6069444444],[-84.6844444444, 40.7463888889],[-84.7, 40.9083333333],[-84.7, 40.9583333333],[-84.7166666667, 41.2833333333],[-85.1083333333, 41.3833333333],[-85.0, 41.85],[-85.0, 43.5],[-84.9636111111, 43.5866666667],[-87.1694444444, 43.6916666667],[-87.5416666667, 43.9666666667],[-88.4666666667, 44.1],[-88.7541666667, 44.1594444444],[-89.0761111111, 44.225],[-89.5875, 44.1541666667],[-90.2916666667, 44.1541666667],[-90.8291666667, 43.6180555556],[-91.0833333333, 43.3666666667],[-91.725, 42.725],[-93.0, 42.7833333333],[-93.05, 42.6666666667],[-93.4666666667, 41.6666666667]]]}
ZAU|ZAU_H_01338_01339|1|18000|60000|{"type": "Polygon", "coordinates": [[[-76.7966666667, 43.6311111111],[-76.7966666667, 43.6311111111],[-76.7805555556, 43.4],[-76.7783333333, 43.3544444444],[-76.775, 43.3291666667],[-76.7638888889, 43.0666666667],[-76.7333333333, 43.0166666667],[-76.6666666667, 42.8833333333],[-76.6891666667, 42.7686111111],[-76.6972222222, 42.7277777778],[-76.8027777778, 42.6083333333],[-76.0166666667, 42.2833333333],[-75.3416666667, 41.9888888889],[-75.0583333333, 41.8694444444],[-74.9083333333, 41.8013888889],[-74.8083333333, 41.7583333333],[-74.7666666667, 41.7333333333],[-74.4444444444, 41.4375],[-73.8666666667, 41.2458333333],[-73.8597222222, 40.8583333333],[-73.3777777778, 40.8583333333],[-73.2916666667, 40.8013888889],[-73.6986111111, 40.2388888889],[-73.7291666667, 39.9333333333],[-73.2833333333, 39.7333333333],[-73.15, 39.7333333333],[-73.0083333333, 39.9944444444],[-72.7819444444, 40.1986111111],[-72.5, 40.0722222222],[-70.8794444444, 40.5766666667],[-69.3416666667, 40.925],[-69.0, 41.0],[-67.0, 41.6166666667],[-67.0, 41.8666666667],[-67.0, 44.9333333333],[-67.775, 45.625],[-67.8069444444, 45.7833333333],[-67.5833333333, 45.825],[-67.2166666667, 46.1430555556],[-67.2166666667, 46.2],[-67.3, 46.5361111111],[-67.2491666667, 46.5725],[-67.2033333333, 46.6119444444],[-67.1702777778, 46.6452777778],[-67.1275, 46.6983333333],[-67.0977777778, 46.7444444444],[-67.0741666667, 46.7922222222],[-67.0566666667, 46.8413888889],[-67.0455555556, 46.8913888889],[-67.0405555556, 46.9416666667],[-67.0422222222, 46.9922222222],[-67.0502777778, 47.0425],[-67.0647222222, 47.0919444444],[-67.0852777778, 47.1405555556],[-67.1122222222, 47.1875],[-67.145, 47.2327777778],[-67.1836111111, 47.2758333333],[-67.2277777778, 47.3166666667],[-67.2769444444, 47.3544444444],[-67.3305555556, 47.3894444444],[-67.3888888889, 47.4208333333],[-67.4508333333, 47.4486111111],[-67.5163888889, 47.4727777778],[-67.5847222222, 47.4927777778],[-67.6555555556, 47.5086111111],[-67.7280555556, 47.5202777778],[-67.8019444444, 47.5275],[-67.8763888889, 47.5302777778],[-67.9508333333, 47.5286111111],[-68.025, 47.5227777778],[-68.0977777778, 47.5122222222],[-68.1691666667, 47.4975],[-68.2383333333, 47.4783333333],[-68.3044444444, 47.4552777778],[-68.3675, 47.4283333333],[-68.4266666667, 47.3977777778],[-68.4819444444, 47.3638888889],[-68.5322222222, 47.3266666667],[-68.5666666667, 47.2875],[-69.2166666667, 47.45],[-70.0, 46.75],[-70.0583333333, 46.4166666667],[-70.2083333333, 46.3083333333],[-70.25, 45.9083333333],[-70.5027777778, 45.6861111111],[-71.0, 45.3166666667],[-71.3361111111, 45.2833333333],[-71.4833333333, 45.0166666667],[-74.25, 45.0],[-74.5666666667, 45.1833333333],[-74.7844444444, 45.1430555556],[-74.9666666667, 45.0691666667],[-74.8833333333, 44.9666666667],[-75.75, 44.8166666667],[-75.7, 44.6666666667],[-75.5, 44.7166666667],[-75.7666666667, 44.5125],[-75.8166666667, 44.4458333333],[-75.95, 44.3472222222],[-76.0, 44.35],[-76.0666666667, 44.3222222222],[-76.1333333333, 44.2916666667],[-76.1833333333, 44.2333333333],[-76.2333333333, 44.2041666667],[-76.2833333333, 44.2041666667],[-76.3333333333, 44.1666666667],[-76.4166666667, 44.1041666667],[-76.7966666667, 43.6311111111]]]}
ZAU|ZAU_L_01338_01339|1|0|18000|{"type": "Polygon", "coordinates": [[[-76.7966666667, 43.6311111111],[-76.7966666667, 43.6311111111],[-76.7805555556, 43.4],[-76.7783333333, 43.3544444444],[-76.775, 43.3291666667],[-76.7638888889, 43.0666666667],[-76.7333333333, 43.0166666667],[-76.6666666667, 42.8833333333],[-76.4833333333, 42.9416666667],[-76.0888888889, 42.9375],[-76.0138888889, 42.8625],[-75.9694444444, 42.6958333333],[-76.0527777778, 42.3119444444],[-75.3416666667, 41.9888888889],[-75.0583333333, 41.8694444444],[-74.9583333333, 41.7416666667],[-74.3458333333, 41.4833333333],[-74.075, 41.3416666667],[-74.0847222222, 41.3194444444],[-74.0061111111, 41.2944444444],[-73.8666666667, 41.2458333333],[-73.8597222222, 40.8583333333],[-73.3777777778, 40.8583333333],[-73.2916666667, 40.8013888889],[-73.6361111111, 40.3319444444],[-73.4, 40.3875],[-73.2541666667, 40.4097222222],[-73.2361111111, 40.3986111111],[-72.9888888889, 40.2916666667],[-72.5, 40.0722222222],[-70.8794444444, 40.5766666667],[-69.3416666667, 40.925],[-69.0, 41.0],[-67.0, 41.6166666667],[-67.0, 41.8666666667],[-67.0, 44.9333333333],[-67.775, 45.625],[-67.8069444444, 45.7833333333],[-67.5833333333, 45.825],[-67.2166666667, 46.1430555556],[-67.2166666667, 46.2],[-67.3, 46.5361111111],[-67.2491666667, 46.5725],[-67.2033333333, 46.6119444444],[-67.1702777778, 46.6452777778],[-67.1275, 46.6983333333],[-67.0977777778, 46.7444444444],[-67.0741666667, 46.7922222222],[-67.0566666667, 46.8413888889],[-67.0455555556, 46.8913888889],[-67.0405555556, 46.9416666667],[-67.0422222222, 46.9922222222],[-67.0502777778, 47.0425],[-67.0647222222, 47.0919444444],[-67.0852777778, 47.1405555556],[-67.1122222222, 47.1875],[-67.145, 47.2327777778],[-67.1836111111, 47.2758333333],[-67.2277777778, 47.3166666667],[-67.2769444444, 47.3544444444],[-67.3305555556, 47.3894444444],[-67.3888888889, 47.4208333333],[-67.4508333333, 47.4486111111],[-67.5163888889, 47.4727777778],[-67.5847222222, 47.4927777778],[-67.6555555556, 47.5086111111],[-67.7280555556, 47.5202777778],[-67.8019444444, 47.5275],[-67.8763888889, 47.5302777778],[-67.9508333333, 47.5286111111],[-68.025, 47.5227777778],[-68.0977777778, 47.5122222222],[-68.1691666667, 47.4975],[-68.2383333333, 47.4783333333],[-68.3044444444, 47.4552777778],[-68.3675, 47.4283333333],[-68.4266666667, 47.3977777778],[-68.4819444444, 47.3638888889],[-68.5322222222, 47.3266666667],[-68.5666666667, 47.2875],[-69.2166666667, 47.45],[-70.0, 46.75],[-70.0583333333, 46.4166666667],[-70.2083333333, 46.3083333333],[-70.25, 45.9083333333],[-70.5027777778, 45.6861111111],[-71.0, 45.3166666667],[-71.3361111111, 45.2833333333],[-71.4833333333, 45.0166666667],[-74.25, 45.0],[-74.5666666667, 45.1833333333],[-74.7844444444, 45.1430555556],[-74.9666666667, 45.0691666667],[-74.8833333333, 44.9666666667],[-75.75, 44.8166666667],[-75.7, 44.6666666667],[-75.5, 44.7166666667],[-75.7666666667, 44.5125],[-75.8166666667, 44.4458333333],[-75.95, 44.3472222222],[-76.0, 44.35],[-76.0666666667, 44.3222222222],[-76.1333333333, 44.2916666667],[-76.1833333333, 44.2333333333],[-76.2333333333, 44.2041666667],[-76.2833333333, 44.2041666667],[-76.3333333333, 44.1666666667],[-76.4166666667, 44.1041666667],[-76.7966666667, 43.6311111111]]]}
